,average,stdev,low,high,F-value,p-value,Variance,TargetCorrelation,RFE LGBMClassifier,RFE RandomForestClassifier,RFE GradientBoostingClassifier,RFE ExtraTreesClassifier,RFE AdaBoostClassifier,RFE XGBClassifier,FeatureImportance LGBMClassifier,FeatureImportance RandomForestClassifier,FeatureImportance GradientBoostingClassifier,FeatureImportance ExtraTreesClassifier,FeatureImportance AdaBoostClassifier,FeatureImportance XGBClassifier
PercentSalaryHike*YearsAtCompany,66.5625,35.40238927906797,12.0,140.0,36.0,36.0,97.0,36.0,66.0,34.0,75.0,55.0,114.0,73.0,40.0,12.0,59.0,114.0,140.0,78.0
HourlyRate*MonthlyRate,68.6875,48.23929069406667,1.0,140.0,139.0,139.0,13.0,139.0,1.0,33.0,52.0,91.0,88.0,50.0,14.0,49.0,50.0,59.0,140.0,42.0
MaritalStatus_Divorced,70.5,40.67595522336671,16.0,140.0,58.0,58.0,125.0,58.0,94.0,120.0,68.0,121.0,21.0,25.0,88.0,140.0,73.0,23.0,40.0,16.0
MonthlyIncome*YearsSinceLastPromotion,70.875,34.893886761628224,20.0,140.0,86.0,86.0,84.0,86.0,41.0,53.0,20.0,76.0,100.0,28.0,69.0,75.0,36.0,126.0,140.0,28.0
Age^2,71.5625,45.915819713906885,7.0,140.0,50.0,50.0,51.0,50.0,124.0,39.0,53.0,7.0,61.0,115.0,140.0,34.0,82.0,9.0,140.0,140.0
EducationField_Technical Degree,71.8125,34.56437231215596,20.0,133.0,65.0,65.0,133.0,65.0,72.0,127.0,44.0,92.0,20.0,20.0,79.0,111.0,53.0,107.0,40.0,56.0
PercentSalaryHike*YearsWithCurrManager,73.8125,35.85009297988872,23.0,140.0,23.0,23.0,63.0,23.0,87.0,104.0,65.0,43.0,89.0,81.0,84.0,95.0,78.0,133.0,140.0,50.0
DistanceFromHome*YearsAtCompany,74.625,32.53075467922624,22.0,140.0,88.0,88.0,108.0,88.0,64.0,83.0,54.0,115.0,107.0,45.0,51.0,45.0,39.0,57.0,140.0,22.0
DailyRate*PercentSalaryHike,74.75,35.005713819318125,16.0,140.0,108.0,108.0,16.0,108.0,27.0,45.0,72.0,47.0,80.0,79.0,27.0,96.0,68.0,99.0,140.0,76.0
NumCompaniesWorked*YearsAtCompany,74.875,33.89173940652796,26.0,125.0,125.0,125.0,78.0,125.0,68.0,48.0,50.0,97.0,27.0,98.0,74.0,26.0,46.0,73.0,40.0,98.0
DistanceFromHome*YearsInCurrentRole,75.1875,18.66268558737818,36.0,112.0,79.0,79.0,90.0,79.0,76.0,101.0,74.0,112.0,36.0,69.0,69.0,74.0,81.0,76.0,40.0,68.0
MonthlyIncome*NumCompaniesWorked,75.6875,27.465660378006568,41.0,140.0,91.0,91.0,48.0,91.0,47.0,67.0,58.0,119.0,92.0,68.0,69.0,76.0,44.0,41.0,140.0,69.0
TotalWorkingYears,77.0625,49.605737235391096,5.0,140.0,5.0,5.0,64.0,5.0,103.0,106.0,117.0,10.0,64.0,111.0,115.0,88.0,117.0,43.0,140.0,140.0
TotalWorkingYears*YearsInCurrentRole,77.25,35.197537792673316,11.0,140.0,35.0,35.0,99.0,35.0,113.0,90.0,86.0,67.0,46.0,88.0,97.0,98.0,94.0,102.0,140.0,11.0
HourlyRate,77.625,41.536931358330584,11.0,140.0,129.0,129.0,11.0,129.0,52.0,103.0,109.0,20.0,68.0,52.0,35.0,77.0,67.0,80.0,140.0,41.0
HourlyRate*YearsWithCurrManager,77.9375,36.70507458104397,29.0,140.0,29.0,29.0,44.0,29.0,55.0,96.0,105.0,106.0,124.0,93.0,40.0,61.0,112.0,89.0,140.0,95.0
YearsInCurrentRole*YearsWithCurrManager,78.375,32.72893724723327,27.0,140.0,39.0,39.0,83.0,39.0,93.0,70.0,82.0,104.0,127.0,27.0,94.0,89.0,60.0,105.0,140.0,63.0
HourlyRate*YearsSinceLastPromotion,79.125,38.501731562792514,31.0,140.0,114.0,114.0,69.0,114.0,73.0,74.0,31.0,33.0,122.0,32.0,91.0,126.0,33.0,55.0,140.0,45.0
PercentSalaryHike,79.5,38.94611662284187,19.0,140.0,135.0,135.0,19.0,135.0,59.0,65.0,46.0,57.0,110.0,60.0,61.0,87.0,47.0,69.0,140.0,47.0
TotalWorkingYears*YearsWithCurrManager,80.625,28.860295678781025,40.0,140.0,40.0,40.0,94.0,40.0,78.0,87.0,88.0,131.0,51.0,84.0,76.0,94.0,76.0,90.0,140.0,81.0
DistanceFromHome*MonthlyIncome,82.125,39.3410303203496,2.0,140.0,120.0,120.0,62.0,120.0,2.0,32.0,92.0,103.0,97.0,95.0,22.0,64.0,101.0,52.0,140.0,92.0
DistanceFromHome*TotalWorkingYears,82.25,26.799253720952755,33.0,140.0,103.0,103.0,91.0,103.0,44.0,59.0,85.0,84.0,106.0,65.0,57.0,33.0,90.0,78.0,140.0,75.0
MonthlyRate*PercentSalaryHike,82.9375,43.09596848894337,22.0,140.0,127.0,127.0,25.0,127.0,67.0,22.0,107.0,34.0,39.0,134.0,61.0,66.0,93.0,118.0,40.0,140.0
MonthlyRate*YearsSinceLastPromotion,84.5,32.39958847475278,25.0,119.0,119.0,119.0,67.0,119.0,25.0,91.0,112.0,107.0,38.0,74.0,57.0,70.0,113.0,116.0,40.0,85.0
YearsInCurrentRole,85.5625,47.21153637265649,7.0,140.0,7.0,7.0,54.0,7.0,118.0,117.0,102.0,93.0,123.0,103.0,118.0,103.0,100.0,37.0,140.0,140.0
DistanceFromHome^2,87.0625,44.64148855045047,13.0,140.0,71.0,71.0,32.0,71.0,138.0,56.0,99.0,133.0,116.0,100.0,140.0,13.0,48.0,25.0,140.0,140.0
Age*YearsSinceLastPromotion,87.3125,33.75345661311347,17.0,140.0,115.0,115.0,98.0,115.0,62.0,62.0,91.0,123.0,58.0,38.0,91.0,65.0,98.0,109.0,140.0,17.0
NumCompaniesWorked,87.375,40.029780580629385,17.0,140.0,83.0,83.0,17.0,83.0,115.0,75.0,127.0,35.0,50.0,106.0,112.0,99.0,116.0,17.0,140.0,140.0
NumCompaniesWorked*YearsSinceLastPromotion,87.8125,29.947106148452253,38.0,140.0,130.0,130.0,76.0,130.0,81.0,76.0,71.0,68.0,104.0,71.0,69.0,86.0,77.0,38.0,140.0,58.0
MonthlyRate,88.0,39.01452720889148,24.0,140.0,128.0,128.0,24.0,128.0,56.0,51.0,76.0,83.0,69.0,133.0,51.0,69.0,87.0,45.0,140.0,140.0
TotalWorkingYears*YearsAtCompany,88.0625,31.733197653771565,28.0,140.0,62.0,62.0,109.0,62.0,102.0,28.0,73.0,108.0,54.0,123.0,104.0,80.0,79.0,83.0,140.0,140.0
DistanceFromHome*YearsSinceLastPromotion,88.75,41.72529209005013,12.0,140.0,140.0,140.0,105.0,140.0,82.0,100.0,37.0,86.0,112.0,61.0,94.0,48.0,29.0,94.0,140.0,12.0
TotalWorkingYears^2,89.375,41.68273023687388,31.0,140.0,42.0,42.0,87.0,42.0,129.0,66.0,110.0,95.0,52.0,116.0,140.0,58.0,140.0,31.0,140.0,140.0
NumCompaniesWorked^2,90.0,43.10297746869312,11.0,140.0,77.0,77.0,15.0,77.0,123.0,111.0,48.0,11.0,108.0,112.0,140.0,136.0,51.0,74.0,140.0,140.0
PercentSalaryHike*YearsSinceLastPromotion,90.25,32.94136204429522,25.0,140.0,117.0,117.0,77.0,117.0,77.0,54.0,95.0,74.0,25.0,130.0,88.0,79.0,89.0,125.0,40.0,140.0
NumCompaniesWorked*TotalWorkingYears,91.25,33.36165463522455,21.0,140.0,116.0,116.0,53.0,116.0,85.0,92.0,104.0,61.0,77.0,99.0,84.0,47.0,109.0,21.0,140.0,140.0
JobRole_Sales Executive,91.5,41.84574848974106,4.0,140.0,121.0,121.0,126.0,121.0,108.0,97.0,55.0,109.0,72.0,4.0,115.0,81.0,56.0,129.0,140.0,9.0
DailyRate^2,91.5625,37.57653301374853,23.0,140.0,93.0,93.0,23.0,93.0,119.0,81.0,113.0,25.0,71.0,124.0,118.0,31.0,97.0,104.0,140.0,140.0
DailyRate*YearsSinceLastPromotion,92.875,25.37419949476239,54.0,140.0,106.0,106.0,68.0,106.0,83.0,73.0,120.0,96.0,86.0,82.0,76.0,54.0,140.0,64.0,140.0,86.0
YearsAtCompany,93.125,42.81257603399575,24.0,140.0,30.0,30.0,89.0,30.0,117.0,116.0,111.0,24.0,117.0,125.0,118.0,93.0,140.0,70.0,140.0,140.0
MonthlyIncome*YearsWithCurrManager,93.6875,34.49196766398423,37.0,140.0,37.0,37.0,85.0,37.0,86.0,79.0,100.0,125.0,95.0,121.0,74.0,113.0,107.0,123.0,140.0,140.0
Gender_Female,94.3125,30.392364720984336,24.0,140.0,80.0,81.0,118.0,81.0,69.0,124.0,123.0,77.0,24.0,89.0,97.0,109.0,140.0,68.0,140.0,89.0
EducationField_Life Sciences,94.6875,22.55280839865995,57.0,140.0,89.0,89.0,116.0,89.0,88.0,130.0,89.0,80.0,57.0,70.0,72.0,118.0,110.0,96.0,140.0,82.0
NumCompaniesWorked*YearsWithCurrManager,95.8125,23.1695741580778,36.0,140.0,110.0,110.0,79.0,110.0,89.0,86.0,94.0,122.0,105.0,77.0,94.0,82.0,108.0,91.0,140.0,36.0
MonthlyRate^2,96.5625,38.952909604632445,14.0,140.0,132.0,132.0,14.0,132.0,114.0,64.0,98.0,94.0,49.0,105.0,103.0,37.0,72.0,119.0,140.0,140.0
Department_Sales,97.5,30.11090610836324,27.0,140.0,72.0,72.0,122.0,72.0,110.0,118.0,83.0,90.0,91.0,104.0,108.0,131.0,80.0,27.0,140.0,140.0
JobRole_Sales Representative,97.625,41.459819906346276,27.0,140.0,27.0,27.0,137.0,27.0,137.0,126.0,84.0,87.0,75.0,110.0,140.0,117.0,103.0,85.0,140.0,140.0
Gender_Male,97.9375,24.994582746400603,40.0,140.0,81.0,81.0,118.0,81.0,97.0,122.0,103.0,102.0,66.0,129.0,100.0,108.0,111.0,88.0,40.0,140.0
YearsAtCompany*YearsInCurrentRole,97.9375,30.29074391075047,51.0,140.0,51.0,51.0,96.0,51.0,112.0,99.0,118.0,127.0,118.0,64.0,112.0,85.0,140.0,112.0,140.0,91.0
YearsInCurrentRole*YearsSinceLastPromotion,98.25,30.627874014803357,37.0,140.0,99.0,99.0,101.0,99.0,109.0,107.0,42.0,124.0,125.0,63.0,103.0,127.0,69.0,128.0,140.0,37.0
PercentSalaryHike^2,99.6875,37.96791408544852,22.0,140.0,133.0,133.0,22.0,133.0,122.0,63.0,101.0,65.0,78.0,114.0,140.0,67.0,95.0,49.0,140.0,140.0
MaritalStatus_Married,100.3125,37.88353864147329,8.0,140.0,64.0,64.0,115.0,64.0,99.0,139.0,115.0,79.0,82.0,122.0,100.0,134.0,140.0,8.0,140.0,140.0
HourlyRate^2,100.875,44.393505531027095,12.0,140.0,124.0,124.0,12.0,124.0,132.0,24.0,90.0,78.0,126.0,120.0,140.0,39.0,140.0,61.0,140.0,140.0
JobRole_Research Scientist,100.875,30.71346067551924,40.0,140.0,136.0,136.0,127.0,136.0,70.0,110.0,40.0,99.0,70.0,91.0,69.0,125.0,74.0,101.0,140.0,90.0
Education,101.6875,42.35362046704705,6.0,140.0,138.0,138.0,6.0,138.0,96.0,112.0,125.0,56.0,115.0,97.0,91.0,122.0,140.0,16.0,140.0,97.0
YearsSinceLastPromotion*YearsWithCurrManager,101.75,28.046390142048583,46.0,140.0,113.0,113.0,92.0,113.0,95.0,93.0,130.0,116.0,131.0,55.0,84.0,92.0,140.0,75.0,140.0,46.0
TotalWorkingYears*YearsSinceLastPromotion,102.375,25.368944269191285,48.0,140.0,90.0,90.0,104.0,90.0,107.0,125.0,80.0,120.0,48.0,132.0,112.0,101.0,75.0,84.0,140.0,140.0
EducationField_Marketing,102.6875,24.613597190712834,59.0,140.0,96.0,96.0,130.0,96.0,120.0,131.0,79.0,110.0,59.0,66.0,121.0,124.0,83.0,113.0,140.0,79.0
YearsAtCompany*YearsSinceLastPromotion,102.8125,23.970033375028912,51.0,140.0,111.0,111.0,107.0,111.0,104.0,94.0,116.0,75.0,119.0,78.0,115.0,100.0,140.0,51.0,140.0,73.0
NumCompaniesWorked*YearsInCurrentRole,103.0,20.597734503257065,59.0,140.0,102.0,102.0,88.0,102.0,92.0,85.0,96.0,59.0,102.0,101.0,112.0,91.0,106.0,130.0,140.0,140.0
YearsWithCurrManager,104.0625,49.951267918509004,13.0,140.0,13.0,13.0,52.0,13.0,121.0,109.0,137.0,129.0,135.0,137.0,121.0,133.0,140.0,132.0,140.0,140.0
YearsAtCompany*YearsWithCurrManager,105.0,28.98735356438505,55.0,140.0,55.0,55.0,100.0,55.0,105.0,105.0,124.0,98.0,120.0,119.0,100.0,97.0,140.0,127.0,140.0,140.0
YearsInCurrentRole^2,107.3125,35.52974106294612,44.0,140.0,44.0,44.0,81.0,44.0,134.0,114.0,128.0,101.0,128.0,102.0,140.0,116.0,140.0,121.0,140.0,140.0
JobRole_Healthcare Representative,110.3125,25.36327725932383,73.0,140.0,73.0,73.0,132.0,73.0,101.0,133.0,126.0,137.0,132.0,87.0,103.0,128.0,105.0,135.0,140.0,87.0
EducationField_Medical,113.1875,25.222261992137025,53.0,140.0,107.0,107.0,120.0,107.0,106.0,123.0,135.0,132.0,63.0,109.0,108.0,121.0,140.0,53.0,140.0,140.0
YearsAtCompany^2,113.25,23.892816214642146,76.0,140.0,76.0,76.0,111.0,76.0,131.0,89.0,121.0,105.0,121.0,113.0,140.0,102.0,140.0,131.0,140.0,140.0
YearsWithCurrManager^2,113.9375,36.438932933516774,49.0,140.0,49.0,49.0,74.0,49.0,140.0,113.0,138.0,114.0,136.0,138.0,140.0,129.0,140.0,134.0,140.0,140.0
YearsSinceLastPromotion,114.125,22.779742462694056,66.0,140.0,118.0,118.0,70.0,118.0,135.0,115.0,66.0,118.0,129.0,108.0,140.0,106.0,88.0,117.0,140.0,140.0
YearsSinceLastPromotion^2,116.4375,27.71033200811567,36.0,140.0,126.0,126.0,102.0,126.0,126.0,121.0,131.0,85.0,133.0,135.0,140.0,110.0,86.0,36.0,140.0,140.0
EducationField_Human Resources,116.75,26.200508900910048,55.0,140.0,85.0,85.0,140.0,85.0,136.0,128.0,129.0,111.0,55.0,118.0,140.0,112.0,140.0,124.0,140.0,140.0
JobRole_Human Resources,121.8125,23.301555742052933,82.0,140.0,82.0,82.0,139.0,82.0,128.0,138.0,136.0,138.0,134.0,136.0,140.0,132.0,104.0,98.0,140.0,140.0
JobRole_Manager,121.875,31.03304690164986,61.0,140.0,61.0,61.0,134.0,61.0,116.0,140.0,140.0,139.0,138.0,140.0,121.0,140.0,140.0,139.0,140.0,140.0
JobRole_Research Director,122.25,30.488249102454756,63.0,140.0,63.0,63.0,137.0,63.0,139.0,135.0,132.0,140.0,137.0,107.0,140.0,140.0,140.0,140.0,140.0,140.0
Department_Human Resources,122.8125,19.463534279946863,73.0,140.0,105.0,105.0,138.0,105.0,130.0,136.0,106.0,128.0,73.0,126.0,140.0,115.0,140.0,138.0,140.0,140.0
